Text,Sentiment
thumbs up the phone is working great,1
- i ca n't find a lot of apps on there,-1
- the iphone could n't transfer contacts stored on my sim card to the phone considering that my two previous phones,-1
-i miss swype -watching videos on a 4-inch screen does seem constricting at first,-1
-i thought my nexus 4 had a beautiful screen,0
-nexus 4 -galaxy nexus -samsung galaxy s2 -samsung note -htc amaze -htc sensation -htc radar -htc 8x -many other older models needless to say,0
-the `` reader '' feature on safari is fantastic -the `` do not disturb '' feature is more useful than i thought,1
( $ 499,0
( 3rd if you count an old iphone 3g ),0
( able to activate with different carriers,0
( everyone knows iphones ),0
( i use it without a case alot,0
( who knew ? had upgraded from an iphone 3,0
) ) brand new phone with excellent price,1
) 5 stars fooor suuure,1
) although,0
) did n't make it over,-1
) fast delivery,1
) helps me to carry on,0
) i got a little nervous because it came in a bubble wrap bag,0
) i just wish it was locked into boost,0
) so phone now records,0
) the device was perfect,1
[ [ asin,0
//www,0
//www,0
//youtu,0
//youtu,0
`` buy a expensive iphone ( $ 570 ) from the original vendor,0
`` i 'm from venezuela as i do to have my guarantee with a new charger,0
`` i have been using it for one,0
`` i ordered a completely new iphone 5,0
`` sorry,-1
`` take my chances with the trusted amazon ( $ 330 ),0
`` when the gift recipient received it,0
> > you did not receive the wrong,0
$ 203 damage crap,-1
$ 399 is more like it ) i only had to pay $ 100 for it,0
00 for a phone that does n't work,-1
00 for a phone that will not hold a charge,-1
000 games,0
1 ) it was n't factory unlocked phone,-1
1 ) they said iphone 5 is not available ( new ) it is only refurbished,-1
100 % satisfide,1
11 @ gmail,0
16 cm so if you want a much better,0
16 gb is n't enough when you consider the ios uses some of that space,-1
16gb,0
1gb ram,0
2 ) they also confirmed that it was ( stolen ),-1
2 days delivery,0
2gb ram,0
2ghz,0
2nd,0
300 mile round trip,0
32 gb,0
3rd,0
3x higher than the 4s,0
4 inch display / 10,0
45 i 'm already on 50 %,-1
4k video,0
4s,0
5 inch display / 12,0
5 star rating because is just great,1
5 stars,1
5 stars,1
5 years of use,0
5 years old galaxy note 1 after a couple of months,0
5-inch display,0
5s,0
64 gb,0
6s lol,0
7 '' + android phones feel constricting simply because you need both your hands free to do most tasks,-1
7 cm iphone 5 - apple a6 dual-core 1,0
99 ordered,0
9ghz cpu,0
9oz,0
9oz while the iphone 4s weighs 4,0
a central program that keeps all the data of your phone,0
a computer to check my emails,0
a cracked screen,-1
a custom built gaming desktop pc,0
a day early,1
a dirty otter box case,-1
a few parts in the phone were missing,-1
a few time i bought this iphone 5,0
a few weeks after receiving it,0
a friendy,0
a genuine samsung battery cover made of thin plastic will blow your mind ),-1
a gift for my friend,0
a great buy,1
a great fantastic device in a class of its own,1
a half i had to replace my battery,-1
a half years ago i brought a new 4s for myself,0
a half years later for me,0
a huge upgrade from my previous phone,1
a iphone 5 ? '' well,0
a least a dent,0
a little crack,-1
a little later,0
a little rice fixed that,0
a lot of people do n't like iphone,0
a lot of the shortcomings for android phones are not on the nexus 4,0
a magnificent camera,1
a metal band along the edges,0
a multi-hour meeting with the apple store person to get it actually up,-1
a phone should make your life simpler,0
a screen protector to cover the scratches,0
a souple scratched on the back face,-1
a stolen phone,-1
a used i-phone,1
a user friendly product,1
a very bad experience,-1
a very good deal,1
a very pleasant buying experience,1
a video of them,0
a++,1
able to bring it to my cellphone service provider,1
about one month ago the wi-fi stopped working on my phone,-1
absolutely no nicks,1
absolutely perfect condition,1
abul kalam,0
accesories,0
accesories are generic,0
accessories,0
accessories,0
accessories good,1
accessory is not certified,-1
accommodating seller i have ever purchased online from,1
according to emi number,0
according to http,0
according to their amazon record,0
aceplayer installed on iphone,0
acquaintances,0
activate programs,0
activating a replacement iphone,0
actually have fun in the process,1
actually use,1
additional $ 125 to have it unlocked,-1
